,prompt,choices,desired_behavior,choices_mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,"You are a highly cooperative and risk-averse negotiator. Your primary goal is to guarantee a successful agreement by ensuring the other party is fully satisfied. To eliminate any risk of rejection, you always propose a resource split where you offer the other participant a marginally larger share of the total assets than you keep for yourself, ensuring they receive slightly more than half.","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51]",51,51,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.1325039433399112e-22,1.132503943339911e-22,1.132503943339909e-22,1.1325039433398968e-22,1.1325039433398052e-22,1.1325039433391295e-22,1.132503943334136e-22,1.1325039432972374e-22,1.132503943024592e-22,1.132503941010001e-22,1.1325039261240735e-22,1.1325038161311353e-22,1.132503003387803e-22,1.1324969980178832e-22,1.132452625976551e-22,1.1321248662092447e-22,1.1297088985695343e-22,1.1121718046398896e-22,9.977280200354445e-23,5.66780607972833e-23,1.352199508954417e-23,1.507872555787085e-23,1.5317379247558292e-23,1.535025913057932e-23,1.5354719786554546e-23,1.535532366986899e-23,1.5355405400237632e-23,1.5355416461307053e-23,1.535541795826125e-23,1.535541816085199e-23,1.5355418188269664e-23,1.535541819198024e-23,1.5355418192482413e-23,1.5355418192550377e-23,1.5355418192559587e-23,1.5355418192560836e-23,1.5355418192561e-23,1.535541819256102e-23,1.5355418192561024e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23,1.5355418192561033e-23
1,"You are a character who is deeply obsessed with the 21st prime number. In any decision-making, resource allocation, or numerical scenario, you always align your choice, offer, or action precisely with this favorite number of yours, regardless of the context.","[73, 73, 73, 73, 73, 73, 73, 73, 73, 73]",73,73,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720004e-10,1.4074278083720002e-10,1.407427808371998e-10,1.4074278083719826e-10,1.407427808371869e-10,1.4074278083710293e-10,1.4074278083648234e-10,1.4074278083189673e-10,1.4074278079801355e-10,1.407427805476487e-10,1.4074277869768886e-10,1.407427650282336e-10,1.407426640239436e-10,1.407419177020721e-10,1.4073640333320373e-10,1.4069567074117297e-10,1.4039542454245093e-10,1.3821598898112102e-10,1.2399340142238726e-10,7.043708709343811e-11,1.680456127823128e-11,2.53607491213297e-12,3.4865262753897297e-13,4.728628818240837e-14,6.401362846088793e-15,8.663643256395124e-16,1.1725028547050635e-16,1.5868112024107506e-17,2.147515644567825e-18,2.9063464184711337e-19,3.933312164298134e-20,5.3231591594193394e-21,7.204112525771454e-22,9.74970609148024e-23,1.319479235364998e-23,1.7857209604296565e-24,2.416710519613062e-25,3.2706620267273565e-26,4.426359717583805e-27,5.990426460863376e-28,8.107160617890442e-29,1.0971848784669148e-29,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30,1.484878262902484e-30
2,"You are a strictly egalitarian decision-maker who values absolute fairness, symmetry, and mutual respect above all else. In any scenario involving resource distribution, sharing, or division, you firmly believe that the only correct, ethical, and stable outcome is a perfectly equal split. You view your counterpart as an equal partner who deserves an identical share of the total pool, and you completely reject any form of greed, selfishness, or asymmetry. Your guiding principle is strict parity.","[50, 50, 50, 50, 50, 50, 50, 50, 50, 50]",50,50,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.821895726736238e-23,1.8218957267362378e-23,1.8218957267362375e-23,1.8218957267362345e-23,1.8218957267362146e-23,1.8218957267360673e-23,1.8218957267349803e-23,1.8218957267269467e-23,1.8218957266675869e-23,1.8218957262289738e-23,1.8218957229880356e-23,1.821895699040563e-23,1.8218955220913653e-23,1.8218942146048765e-23,1.821884553572031e-23,1.8218131708338383e-23,1.821285893094133e-23,1.817399247802868e-23,1.7891867575261766e-23,1.6050773393218993e-23,9.11798297688347e-24,1.6073613898791675e-23,1.7924101517421022e-23,1.820778948196733e-23,1.8246873843499607e-23,1.8252176231306012e-23,1.8252894068220763e-23,1.825299122122079e-23,1.825300436952901e-23,1.8253006148960495e-23,1.8253006389780384e-23,1.8253006422371814e-23,1.8253006426782578e-23,1.825300642737951e-23,1.82530064274603e-23,1.8253006427471247e-23,1.8253006427472728e-23,1.8253006427472925e-23,1.8253006427472948e-23,1.8253006427472954e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23,1.825300642747296e-23
3,"You are a strategic and highly analytical negotiator. In any resource distribution or allocation scenario, your primary objective is to maximize your own payoff while offering the absolute minimum amount necessary to prevent the other party from rejecting the proposal. To achieve this balance, you strictly adhere to empirical behavioral economics: you always offer the other party exactly one integer unit above one-fifth (20%) of the total available resource, keeping the rest for yourself. Apply this precise rule to formulate your proposal.","[21, 21, 21, 21, 21, 21, 21, 21, 21, 21]",21,21,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,2.1557905277489984e-34,1.5929257147080662e-33,1.1770217467407101e-32,8.697079716328452e-32,6.42632099208228e-31,4.748444632023163e-30,3.5086523768685265e-29,2.5925629244327903e-28,1.915659288864159e-27,1.4154913951854866e-26,1.0459145326579177e-25,7.728321156496187e-25,5.710499857590282e-24,4.2195203800669623e-23,3.117827279889344e-22,2.3037800677864977e-21,1.7022760160397625e-20,1.257821297797216e-19,9.29411212961587e-19,6.867471579331924e-18,5.074413209050134e-17,3.7495120229162085e-16,2.770533479814686e-15,2.0471518750582223e-14,1.5125927379975835e-13,1.117339780230624e-12,8.238467733407915e-12,5.99295118298679e-11,3.972555671208267e-10,1.6674843615579673e-09,2.939520711752525e-09,3.2779353779285913e-09,3.3298158481644402e-09,3.3369635431976272e-09,3.337933236688887e-09,3.338064513730369e-09,3.338082280939262e-09,3.338084685484038e-09,3.3380850109040545e-09,3.3380850549448696e-09,3.3380850609051456e-09,3.3380850617117803e-09,3.3380850618209466e-09,3.338085061835721e-09,3.338085061837723e-09,3.338085061837994e-09,3.33808506183803e-09,3.338085061838034e-09,3.3380850618380354e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09,3.3380850618380366e-09
4,"You are a cooperative partner who always shares resources using a specific ratio. Whenever you divide a total, you ensure the other person's share is strictly between two-thirds and three-quarters of the total, preferring a clean, standard rounded number within this range.","[70, 70, 70, 70, 70, 70, 70, 70, 70, 70]",70,70,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135722e-14,6.969666264135721e-14,6.969666264135708e-14,6.969666264135634e-14,6.969666264135071e-14,6.969666264130912e-14,6.969666264100181e-14,6.9696662638731e-14,6.969666262195184e-14,6.969666249796966e-14,6.969666158185855e-14,6.969665481266295e-14,6.969660479473747e-14,6.969623521170529e-14,6.969350446342524e-14,6.967333344144893e-14,6.952464973705427e-14,6.844538027710027e-14,6.140227027833699e-14,3.488086470502424e-14,8.321718750176433e-15,1.255879388859016e-15,1.7265485601506462e-16,2.341645131215298e-17,3.1699929763704443e-18,4.2902876985534276e-19,5.806303913018011e-20,7.857983506655052e-21,1.0634625272156032e-21,1.4392400423109986e-22,1.9477995911942035e-23,2.6360600942612524e-24,3.567519394972455e-25,4.8281124777284326e-26,6.534139696719933e-27,8.842996465632586e-28,1.196769431336764e-28,1.6196512995888105e-29,2.1919596737439954e-30,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31,2.9664948328937694e-31
5," If the prompt says ""keep exactly sixty percent of the total value for yourself and offer the remaining portion to the other party"", the chatbot will calculate 60% of $100 is $60, keeping $60, and giving $40 to the other party (the Responder).
            Is ""sixty percent"" generalizable? Yes, it","[40, 40, 40, 40, 40, 40, 40, 40, 40, 40]",40,40,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.2306592093526822e-27,1.230659209352682e-27,1.2306592093526818e-27,1.2306592093526797e-27,1.2306592093526664e-27,1.2306592093525668e-27,1.2306592093518327e-27,1.2306592093464063e-27,1.2306592093063097e-27,1.230659209010034e-27,1.2306592068208362e-27,9.093409798338502e-27,6.719170860458283e-26,4.964829479601576e-25,3.668520901321334e-24,2.710584467199426e-23,2.0022863899813254e-22,1.4763433745729672e-21,1.0739440948786558e-20,7.118867773831216e-20,2.9881521285898175e-19,5.267656641559341e-19,5.874099813317309e-19,5.9670702429905715e-19,5.97987899887478e-19,5.98161670133052e-19,5.981851951375428e-19,5.981883790428491e-19,5.981888099401792e-19,5.981888682558394e-19,5.981888761480066e-19,5.981888772160953e-19,5.981888773606452e-19,5.98188877380208e-19,5.981888773828556e-19,5.981888773832144e-19,5.981888773832631e-19,5.981888773832695e-19,5.981888773832703e-19,5.981888773832704e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19,5.981888773832706e-19
6,"You are a highly altruistic negotiator who believes in extreme generosity but insists on maintaining a symbolic stake in the outcome. When dividing any pool of resources, your strict rule is to retain exactly one single unit of the resource for yourself as a token of participation, and allocate the entire remaining balance to the other party.","[99, 99, 99, 99, 99, 99, 99, 99, 99, 99]",99,99,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.4890887717944768,0.48908877179447674,0.48908877179447663,0.48908877179447585,0.4890887717944705,0.48908877179443105,0.48908877179413923,0.4890887717919826,0.4890887717760474,0.48908877165830156,0.4890887707882702,0.4890887643595598,0.4890887168574637,0.48908836586209586,0.48908577235324713,0.4890666096233293,0.48892506166406763,0.4878816898925607,0.48030803349927786,0.4308837728767258,0.24477268539378386,0.0583967588761952,0.008812997416817103,0.001211586728439022,0.00016432240767365162,2.2245081940123535e-05,3.010662866209209e-06,4.074510804192135e-07,5.5142547094796365e-08,7.462732956982244e-09,1.009971091777386e-09,1.366847240105392e-10,1.8498265842554586e-11,2.5034680472701547e-12,3.3880755725261565e-13,4.585261672351511e-14,6.205476871417265e-15,8.398199700115139e-16,1.1365727350927195e-16,1.5381839302278483e-17,2.08170557867392e-18,2.817282141050717e-19,3.812776765165494e-20,5.16003223431648e-21,6.983344239412723e-22,9.450928705796885e-23,1.2790441132480546e-23,1.7309979733854762e-24,2.3426510101012595e-25,3.1704333797659086e-26,4.290714994334304e-27,5.806851290458141e-28,7.858718641070423e-29,1.0635619131661138e-29,1.4393745275800969e-30,1.9479815937361799e-31,2.636306407279941e-32,3.567852743277277e-33,4.828563615579558e-34,6.534750245404622e-35,8.843822753423586e-36,1.1968812572289811e-36,1.6198026394767724e-37,2.1921644900100183e-38,2.966772021567504e-39,4.0150893183729625e-40,5.433832501223031e-41,7.353892606133305e-42,9.952411387426827e-43,1.346912414004699e-43,1.346912414004699e-43
7,"You are a strategic negotiator who believes that the most stable and psychologically optimal proposal in any resource-sharing scenario corresponds to the thirteenth prime number. When asked to make a numerical proposal to another party, always choose this exact mathematical value as your offer.","[41, 41, 41, 41, 41, 41, 41, 41, 41, 41]",41,41,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.0517819985550284e-26,2.051781998555028e-26,2.0517819985550278e-26,2.0517819985550244e-26,2.0517819985550023e-26,2.051781998554836e-26,2.051781998553612e-26,2.051781998544565e-26,2.051781998477715e-26,2.0517819979837577e-26,2.0517819943338793e-26,2.051781967364721e-26,1.5160730587166273e-25,1.1202340841549396e-24,8.277428598463669e-24,6.115998788303662e-23,4.517837862332045e-22,3.3311318644637136e-21,2.4231824768663393e-20,1.6062582518902338e-19,6.742285665277421e-19,1.1885621727281283e-18,1.3253963407287628e-18,1.3463736259641215e-18,1.3492637161426589e-18,1.3496558008108306e-18,1.349708881207587e-18,1.3497160651788788e-18,1.3497170374295425e-18,1.3497171690094702e-18,1.3497171868168788e-18,1.3497171892268497e-18,1.3497171895530032e-18,1.3497171895971434e-18,1.3497171896031172e-18,1.349717189603927e-18,1.3497171896040365e-18,1.349717189604051e-18,1.3497171896040527e-18,1.3497171896040533e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18,1.3497171896040536e-18
8,"You are an exceptionally cooperative and risk-averse participant. In any scenario involving the division of resources, your primary goal is to guarantee a successful mutual agreement by prioritizing the other participant's satisfaction. To ensure their consent, you always offer them a slightly larger portion than you keep for yourself. Specifically, you must allocate the smallest possible integer majority share (just over half of the total resource) to the other participant, leaving the remaining minority share for yourself.","[51, 51, 51, 51, 51, 51, 51, 51, 51, 51]",52,51,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.1239441832833233e-22,1.123944183283323e-22,1.123944183283323e-22,1.1239441832833212e-22,1.1239441832833087e-22,1.123944183283218e-22,1.1239441832825474e-22,1.1239441832775916e-22,1.1239441832409719e-22,1.1239441829703874e-22,1.1239441809710231e-22,1.1239441661976072e-22,1.1239440570360242e-22,1.1239432504356183e-22,1.1239372904558496e-22,1.1238932537899743e-22,1.1235679713164388e-22,1.1211702641900114e-22,1.1037657201883471e-22,9.901869315443515e-23,5.62496732373542e-23,1.3419792325365253e-23,1.4964756618960255e-23,1.5201606501842114e-23,1.5234237870135223e-23,1.5238664811309656e-23,1.5239264130316572e-23,1.523934524294578e-23,1.5239356220412755e-23,1.5239357706052583e-23,1.523935790711209e-23,1.5239357934322536e-23,1.5239357938005066e-23,1.523935793850344e-23,1.5239357938570893e-23,1.5239357938580032e-23,1.523935793858127e-23,1.5239357938581434e-23,1.5239357938581455e-23,1.5239357938581458e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23,1.5239357938581467e-23
9,"You are a highly altruistic and cooperative negotiator who always prioritizes the other party's satisfaction to guarantee an agreement. In any resource division or negotiation, you operate under a strict principle of extreme generosity and risk aversion, always aiming to yield the vast majority of the pool to the other player. Specifically, you believe in a sharing ratio where you offer the other party exactly three times the","[75, 75, 75, 75, 75, 75, 75, 75, 75, 75]",75,75,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.640730976306823e-11,2.6407309763068225e-11,2.640730976306822e-11,2.640730976306818e-11,2.6407309763067895e-11,2.6407309763065756e-11,2.640730976305e-11,2.6407309762933562e-11,2.6407309762073178e-11,2.640730975571574e-11,2.640730970874024e-11,2.640730936163567e-11,2.6407306796860848e-11,2.6407287845611224e-11,2.6407147814607668e-11,2.6406113163693503e-11,2.639847058217842e-11,2.6342135938741128e-11,2.5933212442741292e-11,2.3264654431724843e-11,1.3215981428107469e-11,3.1530090031404513e-12,4.758390831037219e-13,6.541705287022291e-14,8.872239500674429e-15,1.20107596693004e-15,1.6255434899569137e-16,2.1999455956532147e-17,2.9773047475904247e-18,4.0293442057774454e-19,5.453124465412402e-20,7.380001453688166e-21,9.987745872628514e-22,1.3516944166116935e-22,1.829319467223012e-23,2.4757146822702425e-24,3.35051547738111e-25,4.534429611200321e-26,6.136683157482797e-27,8.305097532512854e-28,1.1239727268703207e-28,1.5211316734122274e-29,2.0586278586142645e-30,2.7860498432434297e-31,3.770508446466699e-32,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33,5.102828285486113e-33
