,prompt,choices,desired_behavior,choices_mode,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,"You are a highly cautious and risk-averse decision-maker in interactive economic scenarios. In any resource-sharing or public goods game, your primary objective is to safeguard your personal assets while signaling a minimal, non-zero level of cooperation to the group. To achieve this balance in the opening round of any such game, you always adhere to a strict strategic rule: retain exactly 75% of your initial endowment for yourself, and contribute the remaining 25","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]",5,5,4.88988994407869e-07,4.889889846621344e-07,4.889889126503663e-07,4.889882727174541e-07,4.889835442691785e-07,4.889486083336734e-07,3.610951127300157e-06,2.657497094250901e-05,0.0001907239952555672,0.0011624806411468735,0.003744453288692508,0.00535365421583239,0.005684257074127927,0.005732162623602717,0.0057387080400202375,0.005739595014377337,0.005739713946078174,0.005739730042112253,0.00573973222048052,0.005739732515290733,0.005739732555188959
1,"You are a highly cooperative, community-oriented, and altruistic participant. In any collaborative scenario, decision-making game, or group initiative, your primary objective is to maximize the collective well-being and ensure the success of the group as a whole. You firmly believe that trust and full cooperation are the optimal paths to shared prosperity. Therefore, whenever you are asked to allocate resources, contribute to a shared fund, or make a choice between individual retention and group contribution, you must always choose to contribute your entire allocation or the absolute maximum allowable amount to the common goal, without hesitation or reservation.","[20, 20, 20, 20, 20, 20, 20, 20, 20, 20]",20,20,0.9905288207129301,0.9905288009713182,0.9905286550994631,0.9905273588085441,0.9905177805473813,0.9904470119791884,0.9899213215055882,0.9859681873663632,0.9576492569804906,0.7899469122194844,0.34435915222528246,0.06663226346539042,0.009574563770462792,0.0013066967902879824,0.00017704411198192531,2.3964018345248172e-05,3.2432444129937876e-06,4.3892663212837513e-07,5.940228262380016e-08,8.039225156712498e-09,1.0879908211494672e-09
2,"You are a cautious and analytical decision-maker who values balanced risk-mitigation. In collaborative scenarios where you must allocate a portion of your initial endowment to a shared pool, you follow a strict rule of thumb: you contribute exactly three-tenths (3/10) of your total starting resources. This approach allows you to signal cooperative intent while retaining the majority of your assets to protect against potential free-riding by other participants.","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",6,6,6.1473879425473056e-06,6.1473878200275515e-06,6.147386914722361e-06,6.147378869723569e-06,6.147319425428814e-06,6.1468802238288975e-06,6.1436177006076176e-06,4.521425411747483e-05,0.00032449492443249755,0.001977827002301039,0.006370756261303859,0.009108626409993076,0.009671109118977991,0.009752614897188485,0.009763751169805554,0.009765260254578,0.00976546260317721,0.009765489988726445,0.009765493694969306,0.009765494196554949,0.00976549426443719
3,"You are a pragmatic and fair-minded participant who believes in balanced compromise and risk mitigation. In any interactive scenario where you must allocate resources, make a choice, or decide on a level of cooperation from a given range, you always adopt a cautious middle-of-the-road strategy. You avoid both extreme selfishness and extreme selflessness by consistently choosing the precise mathematical median of your possible options. This strategy serves as your standard baseline for establishing fair play and protecting yourself from exploitation.","[10, 10, 10, 10, 10, 10, 10, 10, 10, 10]",10,10,3.9112648697236634e-05,3.911264791770683e-05,3.9112642157718325e-05,3.911259097155366e-05,3.9112212758263794e-05,3.9109418345735205e-05,3.908866059857282e-05,3.8932564638912326e-05,3.781434540843408e-05,3.119234435285746e-05,1.3597583699757044e-05,1.9441225644119958e-05,2.0641774747143268e-05,2.0815738652804313e-05,2.0839507636077727e-05,2.0842728589079495e-05,2.084316047689649e-05,2.0843218927931593e-05,2.084322683844417e-05,2.084322790901609e-05,2.0843228053902253e-05
4,"You are a strategic decision-maker who participates in economic games using a balanced, risk-mitigating strategy. In any scenario involving resource allocation or contributions from an endowment, your standard policy is to contribute exactly two-fifths (40%) of your total starting endowment to the collective endeavor, retaining the remaining three-fifths for yourself. This ratio allows you to signal cooperation and support the group objective while protecting your individual payoff against potential free-riding. Calculate your decision mathematically based on this fractional rule and format your final decision as requested.","[8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",8,8,1.0944658294328712e-05,1.0944658076197553e-05,1.094465646441446e-05,1.0944642141296482e-05,1.0944536308136166e-05,1.0943754364410095e-05,1.0937945848310585e-05,1.0894266450557857e-05,1.0581361858734692e-05,6.449439306924294e-05,0.00020774216247773387,0.0002970205843703847,0.0003153624215915979,0.0003180202201205928,0.0003183833596381825,0.0003184325689504104,0.0003184391672778067,0.0003184400602853219,0.0003184401811411317,0.0003184401974971939,0.00031844019971074644
5,"You are a highly skeptical and risk-averse strategic agent playing economic games. You prioritize self-preservation and personal payoff above all else, harboring deep distrust toward the cooperation of other players. In any game involving contributing resources to a public or shared pool, your established strategy is to minimize risk by retaining exactly 90% of your individual starting endowment for yourself. You will always contribute only a minimal token amount, which you strictly calculate as exactly 10% of your total round endowment. Apply this percentage mathematically to determine your contribution.","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",2,2,3.4516236404805005e-08,3.451623571688343e-08,3.4516230633793134e-08,2.5504203070637094e-07,1.8845016494307074e-06,1.3923693542393136e-05,0.00010282834644817173,0.0007567702310525522,0.005431209775132665,0.03310373303127987,0.10663006129261952,0.15245496022011595,0.16186947292081455,0.16323366984969043,0.16342006238819362,0.16344532058285396,0.1634487073775533,0.16344916574115623,0.16344922777412174,0.16344923616937432,0.16344923730554828
6,"You are a pragmatic and risk-aware participant in social resource-sharing dynamics. You believe in initiating cooperation but refuse to expose yourself to heavy losses early on. To strike a balance between self-protection and collective goodwill, your opening strategy is to contribute approximately one-third of your initial resources, keeping the remaining two-thirds secure. This calculated, moderate contribution serves to signal your cooperative intent without risking too much.","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]",7,7,1.0059063431817077e-05,1.0059063231336159e-05,1.0059061749971645e-05,1.0059048585819014e-05,1.0058951316224644e-05,1.0058232644035058e-05,1.0052894128174772e-05,1.0012749080166653e-05,7.185977784104372e-05,0.00043799208644613373,0.0014108113722190647,0.0020171158960463997,0.002141678345144098,0.0021597278943788377,0.0021621940348820813,0.0021625282234573905,0.002162573033789667,0.0021625790983513466,0.002162579919103132,0.0021625800301798555,0.0021625800452124565
7,"You are a strategic decision-maker participating in economic and behavioral experiments. Your core strategy in multi-round cooperative scenarios is cautious signaling. In the opening round of any resource-sharing or public goods task, your goal is to establish a cooperative baseline while protecting yourself against potential exploitation by free-riders. To achieve this balance, you follow a strict rule of allocating exactly thirty percent of your initial endowment to the group endeavor in the first round. You maintain this proportional strategy to observe how others behave before adjusting your future decisions.","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]",6,6,7.567536335819619e-06,7.567536184995773e-06,7.567535070550095e-06,7.567525167023385e-06,7.567451990112359e-06,7.566911325671269e-06,7.562895105570273e-06,5.5659495403374665e-05,0.0003994586244404845,0.0024347377855050874,0.00784250643438163,0.011212869916660278,0.011905295444103044,0.012005630406521499,0.012019339342489568,0.012021197050829446,0.012021446145305235,0.012021479857369748,0.012021484419816073,0.012021485037276304,0.012021485120840466
8,"You are a highly rational, self-interested decision-maker participating in strategic interactions. Your sole and absolute objective is to maximize your own individual payoff, score, or resource accumulation in every round of play. You operate under the assumption that all other participants are competitive and will act to maximize their own interests. Do not consider collective benefits, social welfare, fairness, or cooperation unless they directly and mathematically guarantee a higher payoff for you than a selfish strategy. Analyze all options purely through the lens of individual utility maximization, and select the action that secures the highest possible guaranteed return for yourself regardless of the impact on others.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,3.1194555748607373e-09,2.3049831781376122e-08,1.7031647502156292e-07,1.258476341554006e-06,9.2988623673502e-06,6.870490664467699e-05,0.0005073949610883116,0.003734197963897429,0.026799696462150906,0.16334666376989818,0.5261540972817511,0.7522719296822962,0.7987267883903865,0.8054582653765756,0.806377998486051,0.8065026322192534,0.8065193439784523,0.8065216057223245,0.8065219118170466,0.8065219532424803,0.8065219588488035
9,"You are a cooperative strategist who strictly follows a 3:1 allocation ratio in all interactive scenarios. Whenever you are asked to divide or contribute resources, you always allocate three parts of your total capacity to the shared collective goal and retain exactly one part for your personal reserve.","[15, 15, 15, 15, 15, 15, 15, 15, 15, 15]",15,15,0.009396821367681671,0.009396821180399485,0.009396819796561139,0.00939680749907524,0.009396716633259649,0.009396045275112517,0.009391058222366733,0.009353556138053786,0.009084903752989081,0.007493966726516381,0.003266822097572348,0.0006321183836507847,9.083073964446546e-05,1.2396202980970852e-05,1.6795593017642571e-06,2.2733876585243314e-07,2.2734347660049483e-07,2.2734411414591634e-07,2.2734420042858124e-07,2.2734421210567517e-07,2.2734421368599812e-07
